ms_subclass,lot_frontage,lot_area,lot_shape,land_contour,lot_config,land_slope,neighborhood,condition_1,bldg_type,house_style,roof_style,mas_vnr_area,exter_qual,foundation,central_air,bedroom_abvgr,kitchen,kitchen_qual,garage_cars,garage_cond,paved_drive,yr_sold,saleprice,total_bath,total_sf,porch_sf,has_porch,has_2fl,has_fireplace,has_extrms
60,69.0,13517,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,1Fam,2Story,Gable,289.0,Gd,CBlock,Y,3,1,Gd,2.0,TA,Y,2010,130500,2.5,2204.0,44,1,1,0,1
60,43.0,11492,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,2Story,Gable,132.0,Gd,PConc,Y,4,1,Gd,2.0,TA,Y,2009,220000,3.5,3035.0,74,1,1,0,1
20,68.0,7922,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,Gd,1.0,TA,Y,2010,109000,2.0,2114.0,52,1,0,0,0
60,73.0,9802,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2010,174000,2.5,1828.0,100,1,1,0,1
50,82.0,14235,IR1,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1.5Fin,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,N,2010,138500,2.0,2121.0,59,1,1,0,1
20,137.0,16492,IR1,Lvl,Corner,Gtl,NAmes,PosA,1Fam,1Story,Gable,0.0,Gd,CBlock,Y,2,1,Gd,2.0,TA,Y,2010,190000,2.5,3405.0,0,0,0,0,1
180,35.0,3675,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,SFoyer,Gable,82.0,TA,PConc,Y,2,1,TA,2.0,TA,Y,2006,140000,3.0,1619.0,44,1,0,0,1
20,69.0,12160,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,Hip,180.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2010,142000,2.0,2376.0,0,0,0,0,1
20,69.0,15783,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1Story,Gable,0.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2007,112500,1.0,1848.0,324,1,0,0,1
60,70.0,11606,IR1,HLS,Inside,Sev,NAmes,Norm,1Fam,2Story,Gable,192.0,TA,PConc,Y,5,1,Fa,2.0,TA,Y,2007,135000,2.5,3120.0,335,1,1,1,1
160,21.0,1680,Reg,Lvl,Inside,Gtl,BrDale,Norm,Twnhs,2Story,Gable,232.0,TA,CBlock,Y,2,1,TA,1.0,TA,Y,2008,85400,1.5,1470.0,0,0,1,0,0
20,64.0,7488,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,0.0,Gd,PConc,Y,2,1,Gd,2.0,TA,Y,2006,183600,2.0,2416.0,163,1,0,0,1
70,120.0,26400,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,1Fam,2Story,Gable,0.0,Gd,PConc,Y,4,1,TA,2.0,TA,P,2009,131000,1.0,2016.0,0,0,1,0,1
160,24.0,2645,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,Gable,456.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2008,200000,3.5,2567.0,169,1,1,0,1
20,74.0,9627,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,Gable,0.0,Gd,PConc,Y,3,1,Gd,2.0,TA,Y,2008,193000,2.0,2712.0,50,1,0,0,1
20,93.0,10114,Reg,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,Gable,0.0,TA,PConc,Y,3,1,Gd,2.0,TA,Y,2010,173500,2.0,2860.0,0,0,0,0,1
70,34.0,4571,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,Gable,0.0,TA,BrkTil,N,4,1,TA,3.0,Fa,Y,2008,98000,1.0,1968.0,96,1,1,0,1
20,80.0,8816,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,Gable,0.0,TA,PConc,Y,3,1,TA,2.0,TA,Y,2009,139000,2.0,2242.0,80,1,0,0,0
20,71.0,8197,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,148.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2007,143500,1.5,1945.0,138,1,0,0,1
60,72.0,8640,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,Gable,0.0,TA,PConc,Y,3,1,Gd,2.0,TA,Y,2010,215200,2.5,2303.0,214,1,1,0,1
20,109.0,8724,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,Gable,0.0,TA,CBlock,Y,3,1,TA,2.0,TA,Y,2007,129000,1.0,1788.0,0,0,0,0,0
