ms_subclass,lot_frontage,lot_area,mas_vnr_area,bedroom_abvgr,kitchen,garage_cars,yr_sold,total_bath,total_sf,porch_sf,has_porch,has_2fl,has_fireplace,has_extrms,ms_subclass^2,ms_subclass lot_frontage,ms_subclass lot_area,ms_subclass mas_vnr_area,ms_subclass bedroom_abvgr,ms_subclass kitchen,ms_subclass garage_cars,ms_subclass yr_sold,ms_subclass total_bath,ms_subclass total_sf,ms_subclass porch_sf,ms_subclass has_porch,ms_subclass has_2fl,ms_subclass has_fireplace,ms_subclass has_extrms,lot_frontage^2,lot_frontage lot_area,lot_frontage mas_vnr_area,lot_frontage bedroom_abvgr,lot_frontage kitchen,lot_frontage garage_cars,lot_frontage yr_sold,lot_frontage total_bath,lot_frontage total_sf,lot_frontage porch_sf,lot_frontage has_porch,lot_frontage has_2fl,lot_frontage has_fireplace,lot_frontage has_extrms,lot_area^2,lot_area mas_vnr_area,lot_area bedroom_abvgr,lot_area kitchen,lot_area garage_cars,lot_area yr_sold,lot_area total_bath,lot_area total_sf,lot_area porch_sf,lot_area has_porch,lot_area has_2fl,lot_area has_fireplace,lot_area has_extrms,mas_vnr_area^2,mas_vnr_area bedroom_abvgr,mas_vnr_area kitchen,mas_vnr_area garage_cars,mas_vnr_area yr_sold,mas_vnr_area total_bath,mas_vnr_area total_sf,mas_vnr_area porch_sf,mas_vnr_area has_porch,mas_vnr_area has_2fl,mas_vnr_area has_fireplace,mas_vnr_area has_extrms,bedroom_abvgr^2,bedroom_abvgr kitchen,bedroom_abvgr garage_cars,bedroom_abvgr yr_sold,bedroom_abvgr total_bath,bedroom_abvgr total_sf,bedroom_abvgr porch_sf,bedroom_abvgr has_porch,bedroom_abvgr has_2fl,bedroom_abvgr has_fireplace,bedroom_abvgr has_extrms,kitchen^2,kitchen garage_cars,kitchen yr_sold,kitchen total_bath,kitchen total_sf,kitchen porch_sf,kitchen has_porch,kitchen has_2fl,kitchen has_fireplace,kitchen has_extrms,garage_cars^2,garage_cars yr_sold,garage_cars total_bath,garage_cars total_sf,garage_cars porch_sf,garage_cars has_porch,garage_cars has_2fl,garage_cars has_fireplace,garage_cars has_extrms,yr_sold^2,yr_sold total_bath,yr_sold total_sf,yr_sold porch_sf,yr_sold has_porch,yr_sold has_2fl,yr_sold has_fireplace,yr_sold has_extrms,total_bath^2,total_bath total_sf,total_bath porch_sf,total_bath has_porch,total_bath has_2fl,total_bath has_fireplace,total_bath has_extrms,total_sf^2,total_sf porch_sf,total_sf has_porch,total_sf has_2fl,total_sf has_fireplace,total_sf has_extrms,porch_sf^2,porch_sf has_porch,porch_sf has_2fl,porch_sf has_fireplace,porch_sf has_extrms,has_porch^2,has_porch has_2fl,has_porch has_fireplace,has_porch has_extrms,has_2fl^2,has_2fl has_fireplace,has_2fl has_extrms,has_fireplace^2,has_fireplace has_extrms,has_extrms^2,lot_shape_IR2,lot_shape_IR3,lot_shape_Reg,land_contour_HLS,land_contour_Low,land_contour_Lvl,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,land_slope_Mod,land_slope_Sev,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_IDOTRR,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,roof_style_Gable,roof_style_Gambrel,roof_style_Hip,roof_style_Mansard,roof_style_Shed,exter_qual_Fa,exter_qual_Gd,exter_qual_TA,foundation_CBlock,foundation_PConc,foundation_Stone,central_air_Y,kitchen_qual_Fa,kitchen_qual_Gd,kitchen_qual_TA,garage_cond_Fa,garage_cond_Gd,garage_cond_Po,garage_cond_TA,paved_drive_P,paved_drive_Y
60.0,69.0,13517.0,289.0,3.0,1.0,2.0,2010.0,2.5,2204.0,44.0,1.0,1.0,0.0,1.0,3600.0,4140.0,811020.0,17340.0,180.0,60.0,120.0,120600.0,150.0,132240.0,2640.0,60.0,60.0,0.0,60.0,4761.0,932673.0,19941.0,207.0,69.0,138.0,138690.0,172.5,152076.0,3036.0,69.0,69.0,0.0,69.0,182709289.0,3906413.0,40551.0,13517.0,27034.0,27169170.0,33792.5,29791468.0,594748.0,13517.0,13517.0,0.0,13517.0,83521.0,867.0,289.0,578.0,580890.0,722.5,636956.0,12716.0,289.0,289.0,0.0,289.0,9.0,3.0,6.0,6030.0,7.5,6612.0,132.0,3.0,3.0,0.0,3.0,1.0,2.0,2010.0,2.5,2204.0,44.0,1.0,1.0,0.0,1.0,4.0,4020.0,5.0,4408.0,88.0,2.0,2.0,0.0,2.0,4040100.0,5025.0,4430040.0,88440.0,2010.0,2010.0,0.0,2010.0,6.25,5510.0,110.0,2.5,2.5,0.0,2.5,4857616.0,96976.0,2204.0,2204.0,0.0,2204.0,1936.0,44.0,44.0,0.0,44.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
60.0,43.0,11492.0,132.0,4.0,1.0,2.0,2009.0,3.5,3035.0,74.0,1.0,1.0,0.0,1.0,3600.0,2580.0,689520.0,7920.0,240.0,60.0,120.0,120540.0,210.0,182100.0,4440.0,60.0,60.0,0.0,60.0,1849.0,494156.0,5676.0,172.0,43.0,86.0,86387.0,150.5,130505.0,3182.0,43.0,43.0,0.0,43.0,132066064.0,1516944.0,45968.0,11492.0,22984.0,23087428.0,40222.0,34878220.0,850408.0,11492.0,11492.0,0.0,11492.0,17424.0,528.0,132.0,264.0,265188.0,462.0,400620.0,9768.0,132.0,132.0,0.0,132.0,16.0,4.0,8.0,8036.0,14.0,12140.0,296.0,4.0,4.0,0.0,4.0,1.0,2.0,2009.0,3.5,3035.0,74.0,1.0,1.0,0.0,1.0,4.0,4018.0,7.0,6070.0,148.0,2.0,2.0,0.0,2.0,4036081.0,7031.5,6097315.0,148666.0,2009.0,2009.0,0.0,2009.0,12.25,10622.5,259.0,3.5,3.5,0.0,3.5,9211225.0,224590.0,3035.0,3035.0,0.0,3035.0,5476.0,74.0,74.0,0.0,74.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
20.0,68.0,7922.0,0.0,3.0,1.0,1.0,2010.0,2.0,2114.0,52.0,1.0,0.0,0.0,0.0,400.0,1360.0,158440.0,0.0,60.0,20.0,20.0,40200.0,40.0,42280.0,1040.0,20.0,0.0,0.0,0.0,4624.0,538696.0,0.0,204.0,68.0,68.0,136680.0,136.0,143752.0,3536.0,68.0,0.0,0.0,0.0,62758084.0,0.0,23766.0,7922.0,7922.0,15923220.0,15844.0,16747108.0,411944.0,7922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,6030.0,6.0,6342.0,156.0,3.0,0.0,0.0,0.0,1.0,1.0,2010.0,2.0,2114.0,52.0,1.0,0.0,0.0,0.0,1.0,2010.0,2.0,2114.0,52.0,1.0,0.0,0.0,0.0,4040100.0,4020.0,4249140.0,104520.0,2010.0,0.0,0.0,0.0,4.0,4228.0,104.0,2.0,0.0,0.0,0.0,4468996.0,109928.0,2114.0,0.0,0.0,0.0,2704.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
60.0,73.0,9802.0,0.0,3.0,1.0,2.0,2010.0,2.5,1828.0,100.0,1.0,1.0,0.0,1.0,3600.0,4380.0,588120.0,0.0,180.0,60.0,120.0,120600.0,150.0,109680.0,6000.0,60.0,60.0,0.0,60.0,5329.0,715546.0,0.0,219.0,73.0,146.0,146730.0,182.5,133444.0,7300.0,73.0,73.0,0.0,73.0,96079204.0,0.0,29406.0,9802.0,19604.0,19702020.0,24505.0,17918056.0,980200.0,9802.0,9802.0,0.0,9802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,6030.0,7.5,5484.0,300.0,3.0,3.0,0.0,3.0,1.0,2.0,2010.0,2.5,1828.0,100.0,1.0,1.0,0.0,1.0,4.0,4020.0,5.0,3656.0,200.0,2.0,2.0,0.0,2.0,4040100.0,5025.0,3674280.0,201000.0,2010.0,2010.0,0.0,2010.0,6.25,4570.0,250.0,2.5,2.5,0.0,2.5,3341584.0,182800.0,1828.0,1828.0,0.0,1828.0,10000.0,100.0,100.0,0.0,100.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
50.0,82.0,14235.0,0.0,3.0,1.0,2.0,2010.0,2.0,2121.0,59.0,1.0,1.0,0.0,1.0,2500.0,4100.0,711750.0,0.0,150.0,50.0,100.0,100500.0,100.0,106050.0,2950.0,50.0,50.0,0.0,50.0,6724.0,1167270.0,0.0,246.0,82.0,164.0,164820.0,164.0,173922.0,4838.0,82.0,82.0,0.0,82.0,202635225.0,0.0,42705.0,14235.0,28470.0,28612350.0,28470.0,30192435.0,839865.0,14235.0,14235.0,0.0,14235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,6030.0,6.0,6363.0,177.0,3.0,3.0,0.0,3.0,1.0,2.0,2010.0,2.0,2121.0,59.0,1.0,1.0,0.0,1.0,4.0,4020.0,4.0,4242.0,118.0,2.0,2.0,0.0,2.0,4040100.0,4020.0,4263210.0,118590.0,2010.0,2010.0,0.0,2010.0,4.0,4242.0,118.0,2.0,2.0,0.0,2.0,4498641.0,125139.0,2121.0,2121.0,0.0,2121.0,3481.0,59.0,59.0,0.0,59.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
20.0,137.0,16492.0,0.0,2.0,1.0,2.0,2010.0,2.5,3405.0,0.0,0.0,0.0,0.0,1.0,400.0,2740.0,329840.0,0.0,40.0,20.0,40.0,40200.0,50.0,68100.0,0.0,0.0,0.0,0.0,20.0,18769.0,2259404.0,0.0,274.0,137.0,274.0,275370.0,342.5,466485.0,0.0,0.0,0.0,0.0,137.0,271986064.0,0.0,32984.0,16492.0,32984.0,33148920.0,41230.0,56155260.0,0.0,0.0,0.0,0.0,16492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4020.0,5.0,6810.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2010.0,2.5,3405.0,0.0,0.0,0.0,0.0,1.0,4.0,4020.0,5.0,6810.0,0.0,0.0,0.0,0.0,2.0,4040100.0,5025.0,6844050.0,0.0,0.0,0.0,0.0,2010.0,6.25,8512.5,0.0,0.0,0.0,0.0,2.5,11594025.0,0.0,0.0,0.0,0.0,3405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1
180.0,35.0,3675.0,82.0,2.0,1.0,2.0,2006.0,3.0,1619.0,44.0,1.0,0.0,0.0,1.0,32400.0,6300.0,661500.0,14760.0,360.0,180.0,360.0,361080.0,540.0,291420.0,7920.0,180.0,0.0,0.0,180.0,1225.0,128625.0,2870.0,70.0,35.0,70.0,70210.0,105.0,56665.0,1540.0,35.0,0.0,0.0,35.0,13505625.0,301350.0,7350.0,3675.0,7350.0,7372050.0,11025.0,5949825.0,161700.0,3675.0,0.0,0.0,3675.0,6724.0,164.0,82.0,164.0,164492.0,246.0,132758.0,3608.0,82.0,0.0,0.0,82.0,4.0,2.0,4.0,4012.0,6.0,3238.0,88.0,2.0,0.0,0.0,2.0,1.0,2.0,2006.0,3.0,1619.0,44.0,1.0,0.0,0.0,1.0,4.0,4012.0,6.0,3238.0,88.0,2.0,0.0,0.0,2.0,4024036.0,6018.0,3247714.0,88264.0,2006.0,0.0,0.0,2006.0,9.0,4857.0,132.0,3.0,0.0,0.0,3.0,2621161.0,71236.0,1619.0,0.0,0.0,1619.0,1936.0,44.0,0.0,0.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1
20.0,69.0,12160.0,180.0,3.0,1.0,2.0,2010.0,2.0,2376.0,0.0,0.0,0.0,0.0,1.0,400.0,1380.0,243200.0,3600.0,60.0,20.0,40.0,40200.0,40.0,47520.0,0.0,0.0,0.0,0.0,20.0,4761.0,839040.0,12420.0,207.0,69.0,138.0,138690.0,138.0,163944.0,0.0,0.0,0.0,0.0,69.0,147865600.0,2188800.0,36480.0,12160.0,24320.0,24441600.0,24320.0,28892160.0,0.0,0.0,0.0,0.0,12160.0,32400.0,540.0,180.0,360.0,361800.0,360.0,427680.0,0.0,0.0,0.0,0.0,180.0,9.0,3.0,6.0,6030.0,6.0,7128.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2010.0,2.0,2376.0,0.0,0.0,0.0,0.0,1.0,4.0,4020.0,4.0,4752.0,0.0,0.0,0.0,0.0,2.0,4040100.0,4020.0,4775760.0,0.0,0.0,0.0,0.0,2010.0,4.0,4752.0,0.0,0.0,0.0,0.0,2.0,5645376.0,0.0,0.0,0.0,0.0,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
20.0,69.0,15783.0,0.0,2.0,1.0,1.0,2007.0,1.0,1848.0,324.0,1.0,0.0,0.0,1.0,400.0,1380.0,315660.0,0.0,40.0,20.0,20.0,40140.0,20.0,36960.0,6480.0,20.0,0.0,0.0,20.0,4761.0,1089027.0,0.0,138.0,69.0,69.0,138483.0,69.0,127512.0,22356.0,69.0,0.0,0.0,69.0,249103089.0,0.0,31566.0,15783.0,15783.0,31676481.0,15783.0,29166984.0,5113692.0,15783.0,0.0,0.0,15783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,4014.0,2.0,3696.0,648.0,2.0,0.0,0.0,2.0,1.0,1.0,2007.0,1.0,1848.0,324.0,1.0,0.0,0.0,1.0,1.0,2007.0,1.0,1848.0,324.0,1.0,0.0,0.0,1.0,4028049.0,2007.0,3708936.0,650268.0,2007.0,0.0,0.0,2007.0,1.0,1848.0,324.0,1.0,0.0,0.0,1.0,3415104.0,598752.0,1848.0,0.0,0.0,1848.0,104976.0,324.0,0.0,0.0,324.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1
60.0,70.0,11606.0,192.0,5.0,1.0,2.0,2007.0,2.5,3120.0,335.0,1.0,1.0,1.0,1.0,3600.0,4200.0,696360.0,11520.0,300.0,60.0,120.0,120420.0,150.0,187200.0,20100.0,60.0,60.0,60.0,60.0,4900.0,812420.0,13440.0,350.0,70.0,140.0,140490.0,175.0,218400.0,23450.0,70.0,70.0,70.0,70.0,134699236.0,2228352.0,58030.0,11606.0,23212.0,23293242.0,29015.0,36210720.0,3888010.0,11606.0,11606.0,11606.0,11606.0,36864.0,960.0,192.0,384.0,385344.0,480.0,599040.0,64320.0,192.0,192.0,192.0,192.0,25.0,5.0,10.0,10035.0,12.5,15600.0,1675.0,5.0,5.0,5.0,5.0,1.0,2.0,2007.0,2.5,3120.0,335.0,1.0,1.0,1.0,1.0,4.0,4014.0,5.0,6240.0,670.0,2.0,2.0,2.0,2.0,4028049.0,5017.5,6261840.0,672345.0,2007.0,2007.0,2007.0,2007.0,6.25,7800.0,837.5,2.5,2.5,2.5,2.5,9734400.0,1045200.0,3120.0,3120.0,3120.0,3120.0,112225.0,335.0,335.0,335.0,335.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
